# x [Mpc/h]	y [Mpc/h]	z [Mpc/h]	Mh [Msun]
  2.5045	 59.9146	  5.1865	1.0601e+12
 18.1540	 25.4985	 30.2296	5.6551e+11
 43.8417	 40.8668	 17.3599	1.0044e+12
 62.6129	 14.0159	 59.2080	7.1833e+11
  4.1580	 57.3167	 49.7610	2.4910e+11
 17.4937	 21.2713	 16.5140	1.0075e+12
 33.3288	  7.5094	 62.5909	1.0510e+12
 53.1671	  1.2135	 15.1898	6.7098e+11
 61.9732	 17.2788	  0.1753	9.3222e+11
 35.4789	 60.5071	  7.5099	8.9128e+11
 50.2329	 22.3200	 55.8054	1.0144e+12
 41.4145	 39.7422	 31.0222	6.8503e+11
 47.7765	 17.2336	 54.5946	9.9987e+11
 18.3563	 15.7853	 50.2016	4.3437e+11
 62.6709	  1.2524	  0.3182	9.5876e+11
 24.1712	 33.4965	 13.8626	7.1261e+11
  0.6594	 52.6550	 13.6453	5.6447e+11
 37.3438	 25.3909	 36.1440	4.3246e+11
  1.6566	 55.7481	  7.4001	8.7914e+11
 29.5840	 40.0898	 11.4906	8.6266e+11
 62.7810	  9.6451	 17.5589	8.4271e+11
 46.6202	  3.1592	 10.1892	9.3239e+11
 24.0902	 61.2414	 60.6062	9.1956e+11
 25.7657	 54.4336	 13.9005	4.4790e+11
 11.5750	 36.2332	  7.9898	6.5294e+11
 52.9091	 42.1188	 11.9217	5.8372e+11
 12.5213	 11.9692	 11.8760	8.8712e+11
 50.6986	  0.7590	 18.4131	8.6665e+11
 21.0626	 24.5714	 33.9169	3.4416e+11
 50.0638	 54.6538	 11.9807	4.8658e+11
 15.0869	 16.1916	 24.8199	6.0697e+11
 17.6079	 50.4041	 62.8175	2.8778e+11
 29.0658	 41.4916	 11.4667	7.6899e+11
 19.9519	  5.9727	 63.4677	9.1696e+11
 19.4175	 15.4168	 63.6994	8.0750e+11
 58.0459	 55.3414	 26.7736	8.5086e+11
 16.5545	 27.3310	 44.1027	9.2528e+11
 20.2718	 46.7422	 54.8643	6.3073e+11
 20.0322	 61.2018	 54.6152	8.7029e+11
 41.4009	 41.5384	 22.4897	3.9429e+11
 23.1352	 19.6817	 52.4377	9.2424e+11
 21.6816	 38.6682	 50.3912	9.8860e+11
 26.9519	 44.4108	 10.2718	3.9898e+11
 43.8704	 21.8270	 43.2304	8.9978e+11
 21.2148	 17.2868	 59.3423	4.3402e+11
 35.8504	  9.3402	 61.7708	8.7879e+11
 49.9291	 40.2641	 14.8781	3.5405e+11
 34.2599	 24.6899	 32.5775	5.8962e+11
 47.3122	 23.9721	 53.4337	6.7670e+11
 24.7518	 51.8265	  2.1206	7.8859e+11
 44.4531	 26.6344	 10.2279	5.0982e+11
 34.8810	 50.4779	 13.7167	6.5571e+11
 52.8053	 41.3185	 50.7267	8.0368e+11
  6.2400	 48.1650	 44.0991	8.2502e+11
 62.3677	 46.9662	 27.0162	7.3967e+11
 36.7141	 13.9068	 30.5857	7.7176e+11
  4.5979	 60.9307	  1.8664	7.4713e+11
 12.9184	 12.4755	 12.2471	5.7453e+11
 54.2150	 17.0288	 11.4307	7.6656e+11
 13.9692	 34.2506	  2.8948	8.6821e+11
 18.8260	 24.6730	 43.1139	5.4192e+11
 46.6229	 17.9477	 15.4473	9.2494e+11
 24.5801	 62.4758	 54.4449	5.5059e+11
 42.2677	  9.8020	 24.3842	7.6951e+11
 39.7776	 42.6750	 26.0036	5.1763e+11
 11.4826	 41.1170	 17.8567	8.7706e+11
 35.0305	 19.0487	 31.8129	2.1701e+11
 46.5207	 23.3116	 18.7933	8.5988e+11
 33.9096	  7.9912	 60.8495	4.0644e+11
 62.4122	 25.1272	 14.1073	7.8842e+11
 37.0819	 45.8365	 14.0429	8.8989e+11
 58.0719	 62.2352	 18.1008	6.5953e+11
 47.3218	 20.5162	 13.5955	8.6023e+11
 21.7956	 61.8711	 42.2652	6.5311e+11
 46.8229	 32.5481	 18.7462	4.8519e+11
 51.3617	 35.4383	 20.7342	7.7090e+11
 23.2201	 25.6588	 38.7015	8.0403e+11
 52.5830	 45.6725	 30.8034	3.8718e+11
  5.4284	 11.6287	  5.3544	3.9221e+11
 58.0969	 45.4276	 28.5672	3.3809e+11
 34.2764	 61.1196	 43.0062	8.7706e+11
 50.6971	 19.7431	 61.2163	7.8998e+11
 25.2396	  7.6058	 51.0289	4.3558e+11
 34.1660	  8.2893	 28.8590	8.0871e+11
 20.6639	 20.2679	 39.7217	8.0628e+11
  8.8421	 56.5380	 50.4248	7.1764e+11
 44.3394	 47.8999	 56.6096	4.8623e+11
 58.9841	 20.1503	 11.0978	7.8651e+11
 11.2207	  6.6687	  4.8908	8.1634e+11
 14.1206	 12.1962	 53.1881	6.1425e+11
 26.0116	 15.8664	 40.5330	8.7914e+11
 26.5123	  8.1823	 60.5682	8.0021e+11
 31.1853	 43.1744	  8.7387	6.7132e+11
 19.9629	 22.8497	 41.8424	7.2111e+11
 53.3799	  0.4002	 15.8350	8.6596e+11
 61.5236	 34.8757	 20.7627	8.0021e+11
 50.3513	  9.2479	 35.4481	8.3039e+11
 13.7588	 19.7008	 29.5912	7.5077e+11
 21.1650	 25.7254	 38.0099	8.5190e+11
 23.6235	 56.6229	 60.3070	7.1122e+11
 39.4871	 60.2100	  3.5051	6.8433e+11
 43.9390	 34.7591	 46.8399	7.2232e+11
 49.4938	 10.8274	  6.9586	7.9900e+11
 53.0510	 14.9156	 27.0166	7.7783e+11
 21.9597	 59.6425	 59.3631	7.1313e+11
 20.9218	 21.1003	 43.5414	7.3950e+11
 52.3063	 49.0994	  9.9589	7.9518e+11
 57.6034	  4.9592	 20.6356	5.4591e+11
 12.2420	 11.2578	  2.8534	8.2085e+11
 31.1373	 30.1554	 27.2488	7.5077e+11
 43.3440	 36.6981	 37.1448	7.0879e+11
 16.2059	 29.7753	 61.3149	6.8555e+11
 53.0960	 40.0866	 49.4689	6.7150e+11
  7.1195	 24.8478	 18.9031	7.7853e+11
 45.0074	 44.6356	 13.8232	7.9293e+11
  1.1550	 52.9945	 14.6221	7.3065e+11
 62.2018	 47.8546	  7.1385	8.2172e+11
 24.5520	 16.0283	 31.8986	8.1392e+11
 41.3988	 18.7875	 39.9755	7.3360e+11
 48.5660	 24.3066	 54.3583	4.0210e+11
 47.3072	  7.6406	 13.7306	7.3256e+11
 18.9941	 28.8740	 11.4551	6.7549e+11
 44.3814	 14.1934	 24.3175	6.8277e+11
 41.9242	 52.4053	 24.5619	5.6152e+11
 30.1931	 36.2927	 14.0794	4.0470e+11
 32.0689	 11.4250	  8.0137	7.1486e+11
 44.0100	 38.0937	 24.5281	7.9310e+11
 49.2857	 45.5103	 38.1816	5.6291e+11
 18.0331	 22.6504	 35.6225	7.2909e+11
 23.0822	  0.4121	 51.5571	8.0455e+11
 12.6531	  5.1066	 11.5125	5.5215e+11
 22.6417	 25.2218	 35.4751	3.5596e+11
 55.7658	 30.7535	 52.5690	6.0610e+11
 51.6037	  6.9952	 18.6341	6.5103e+11
 51.0573	  2.5250	 23.0182	6.2986e+11
 47.6241	 17.8785	  2.7769	6.5658e+11
 36.9594	 25.4215	 29.7299	6.5294e+11
 25.5719	 22.6849	 31.9387	7.0966e+11
 49.1057	 39.2694	  1.2109	4.7808e+11
 18.0413	 12.3448	  1.7411	7.4331e+11
 46.3689	 15.8675	  4.2434	6.9145e+11
 48.2003	 13.7793	  5.6882	5.2873e+11
 43.7969	  8.6698	 59.4634	3.5353e+11
 42.2359	 11.0539	 34.2673	7.4019e+11
 55.2133	 19.7202	  0.7605	6.3316e+11
 37.0811	 50.2126	 12.2458	6.3438e+11
 37.7827	 54.7176	 15.4506	7.7697e+11
 51.1216	 20.9504	 55.1461	3.8857e+11
 21.8943	 20.2350	 41.1468	5.1503e+11
 28.1662	  9.7238	 12.1014	6.9110e+11
 40.8143	 15.2232	 28.5108	7.4574e+11
 56.0896	 35.9006	 29.0849	5.9205e+11
 60.5436	 46.1822	 28.3041	3.4017e+11
 50.3820	  7.4863	 12.8140	5.3099e+11
 37.6327	 59.9844	 29.1610	5.3584e+11
 58.0892	 10.9066	 35.7521	7.4540e+11
  5.9946	 36.1549	 31.9762	5.5926e+11
 48.0468	 59.9818	 24.8612	6.1529e+11
 25.9116	 59.9598	 58.7469	6.3646e+11
 17.0493	 28.4409	 38.2515	5.7626e+11
  1.4863	  1.1572	  2.6470	6.6820e+11
 52.5410	 48.8234	  9.5619	4.7895e+11
 25.1036	 47.9755	  7.7567	4.9699e+11
 48.3335	  3.6449	 10.6971	4.5969e+11
 42.6070	 12.2187	  1.1947	7.2336e+11
 49.3818	 13.5443	  4.8805	6.4721e+11
 35.4489	 38.1244	 13.8556	6.7531e+11
 43.1275	 23.9101	 26.5722	6.8711e+11
 22.7376	 25.1013	 34.9802	6.6629e+11
 42.8148	 11.6308	 63.8725	6.8139e+11
 26.4533	 26.0561	 37.5174	1.9585e+11
 28.9528	 63.2270	 57.6194	5.9847e+11
  5.0731	  7.9854	 34.9897	4.2691e+11
 54.7627	 48.2958	 42.3753	7.3984e+11
 50.6375	 30.1469	 43.2747	6.9405e+11
  3.2877	  7.0512	  5.1457	6.9440e+11
 45.6858	 25.2393	 12.8003	2.9889e+11
 49.0266	 13.0954	 40.6629	4.2760e+11
 46.1410	 44.0907	 19.2808	7.1764e+11
 35.5092	 40.0961	 15.0705	7.5875e+11
 16.8895	 50.1603	  1.0932	4.6091e+11
 34.5152	 25.1405	 36.7900	4.7773e+11
 34.0775	 24.2423	 32.4617	6.5988e+11
 14.3302	 35.1592	  2.4667	6.4964e+11
  2.4601	 27.6173	  3.9093	4.4755e+11
 58.0670	 38.3389	 30.7713	4.1754e+11
 49.0163	 56.8841	  9.6634	6.9474e+11
  5.5743	  5.1778	  0.4085	6.4652e+11
 42.1336	 11.9793	 40.4032	3.5214e+11
 51.0954	 12.1629	  3.1173	6.7653e+11
 43.7038	 61.7265	  2.4183	7.1695e+11
  3.5728	 46.7036	 13.7842	6.1287e+11
 43.9410	 10.0137	 24.4971	3.7834e+11
 47.7668	  1.2413	  7.5532	3.7348e+11
 50.6576	 20.6388	 56.7247	5.2752e+11
 17.4772	 35.4538	 57.7798	5.5146e+11
 56.2012	 37.9883	 12.2964	6.3889e+11
 44.4202	 34.0777	 33.0901	4.2101e+11
 19.5444	 19.7507	 39.1474	3.6931e+11
 19.8591	 27.7355	 41.2464	3.3601e+11
 34.9952	 37.5605	 14.2224	4.2951e+11
 51.4516	  7.4649	 19.5419	6.6456e+11
 60.9564	 55.6855	  9.2521	6.1668e+11
 53.3569	  6.1884	 17.9810	6.8416e+11
  2.1509	 27.9584	  0.2252	3.4225e+11
 33.7935	 41.1999	 29.8875	6.9335e+11
 57.5275	  7.7134	  7.4137	6.7323e+11
 21.3529	 33.4127	 54.7775	5.8580e+11
 27.1535	 26.3438	 36.4085	7.0255e+11
 41.9247	 61.9012	  6.0937	6.6334e+11
 48.7425	 37.5514	 48.7163	4.8918e+11
 52.1268	  4.4178	 38.3337	6.8624e+11
 50.2048	 44.3751	 25.7228	5.0861e+11
  6.8531	 11.2652	 29.1914	4.5588e+11
 48.1217	 55.7898	 27.5246	3.8527e+11
 21.9373	 26.4520	 40.3882	5.9673e+11
 38.5752	 17.6520	 41.2946	2.2083e+11
 21.9087	 25.7253	 38.4202	4.0037e+11
  1.3052	 47.4005	  2.8379	5.6291e+11
 10.7025	 15.6917	 25.0883	5.9656e+11
 53.3832	 15.7935	 35.1778	2.7061e+11
 53.2887	 41.0814	 51.3883	6.2657e+11
 40.5765	 45.6878	 33.8479	4.3194e+11
 27.4195	 25.1609	 35.0523	2.3158e+11
 51.0666	  9.0585	 10.3883	4.2205e+11
 59.8053	 26.0648	  0.4375	4.6854e+11
 20.6831	 60.0361	 55.5592	6.2518e+11
 14.4851	  9.8948	 53.6627	5.9760e+11
 53.7843	 16.7817	 10.8990	6.1685e+11
 59.1771	 25.1587	 63.6150	6.3247e+11
 23.0356	 33.2540	 48.9103	3.4850e+11
  2.9369	 56.8012	 48.3294	4.3749e+11
 17.3515	 44.5114	 56.3117	2.6003e+11
 55.1299	 40.6041	  7.3917	2.7703e+11
 11.1542	 15.9176	 20.6308	3.6827e+11
 45.1338	  1.5899	 10.5506	6.5571e+11
 12.4914	 31.3393	 19.6749	4.0071e+11
 31.7946	 12.0676	  5.1634	3.0496e+11
  7.1855	 24.2766	 19.0144	6.6196e+11
 16.8366	 20.2151	 23.1733	2.3644e+11
 55.1073	 39.2115	 56.5839	5.5770e+11
 35.2035	 15.4176	 34.9971	4.4182e+11
 24.0165	 37.9418	 21.6527	6.6664e+11
 25.5212	  5.7401	 61.4280	5.2058e+11
 35.1314	 38.0259	 15.6960	4.8363e+11
 53.6632	 39.7308	 49.4932	4.4113e+11
 12.5932	 48.7629	 62.0023	5.4088e+11
 17.8418	 22.1891	 35.2253	5.9396e+11
 26.8507	 42.4646	 26.3132	4.6958e+11
  2.2416	  5.2132	  8.6671	5.9569e+11
 24.5123	 33.0559	 37.3040	5.5527e+11
 34.3711	 53.7436	 11.6385	5.5822e+11
 46.6617	 21.5754	 14.4000	5.0583e+11
 21.4540	 24.7273	 14.6791	6.2588e+11
 48.2677	 41.9311	 61.3861	6.6803e+11
  1.4842	 10.4372	 35.6036	4.3749e+11
 26.5236	 13.2844	 36.3429	4.8467e+11
 28.7595	 40.3984	 19.3051	2.4025e+11
 45.3288	  2.1095	 11.2374	5.0514e+11
 63.3379	 50.7279	 13.2855	4.2326e+11
 29.5302	 60.5803	 54.8317	6.5085e+11
 52.2934	 22.7156	 57.4222	4.1251e+11
 19.9997	 34.4326	 20.6188	6.3385e+11
 52.6413	 14.8894	 38.9536	5.8320e+11
 17.5373	 28.7303	 34.2100	6.1998e+11
 17.2411	 57.9496	 56.2025	5.5024e+11
 18.0889	 44.1271	 55.7405	5.7540e+11
 18.5331	 30.1820	 47.7984	5.5458e+11
 22.4249	 30.3295	 22.2359	3.3445e+11
 63.2031	 49.4475	  6.1291	1.8162e+11
 20.4099	 22.2306	 42.0926	4.0470e+11
 49.9740	 37.6024	 49.8433	4.2725e+11
 59.6344	 24.7797	  0.0729	5.2509e+11
 32.8324	 36.5796	  6.4048	5.2648e+11
 59.0541	  2.9175	 12.5555	5.7193e+11
 42.6467	 12.3673	 47.8837	5.1486e+11
 12.5426	  9.9037	 62.7213	5.5579e+11
  4.1749	 43.7339	 23.4173	3.6689e+11
 40.5446	 14.4097	 46.5255	5.6828e+11
 57.9630	 51.6326	 20.9133	5.5423e+11
 50.0065	 38.1329	 17.8696	6.0905e+11
 13.7201	 28.1331	 62.4754	6.1009e+11
 56.3862	 13.4861	 16.1803	5.4625e+11
 40.9859	 19.3762	 42.1252	6.1373e+11
 60.3039	 62.1619	 14.6571	5.5649e+11
 17.3862	 50.3811	  0.3588	5.8719e+11
 48.6942	 54.7130	 39.7545	1.8665e+11
 42.0341	 10.7728	  0.8044	3.0825e+11
 16.4919	 50.3365	  2.0307	4.8103e+11
  1.2254	 27.9302	 61.8196	4.1754e+11
 49.9691	 20.5879	 60.7240	5.1572e+11
 44.9182	 15.4860	 24.3019	5.2041e+11
 62.2020	 12.4603	 62.1563	1.9203e+11
  6.1756	  1.5063	 50.9728	5.1416e+11
 19.3759	 32.7019	 29.9189	5.4053e+11
 43.7414	 57.6562	 14.0738	5.9829e+11
 43.8699	 19.0675	  9.6017	5.7193e+11
 35.6937	 43.6122	 60.6617	5.1850e+11
